Time,Voltage (V)
-0.0718552,1.083108604
-0.07185517999999999,1.08371915
-0.07185515999999999,1.083108604
-0.07185514,1.083108604
-0.07185512,1.083108604
-0.07185509999999999,1.083108604
-0.07185507999999999,1.082498058
-0.07185506,1.082498058
-0.07185504,1.082498058
-0.07185501999999999,1.082498058
-0.07185499999999999,1.082498058
-0.07185498,1.082498058
-0.07185496,1.082498058
-0.07185493999999999,1.082498058
-0.07185491999999999,1.081887512
-0.0718549,1.081887512
-0.07185488,1.081887512
-0.07185485999999999,1.081887512
-0.07185483999999999,1.081887512
-0.07185482,1.081887512
-0.0718548,1.081887512
-0.07185478,1.081887512
-0.07185475999999999,1.081887512
-0.07185474,1.082498058
-0.07185472,1.083108604
-0.0718547,1.083108604
-0.07185467999999999,1.082498058
-0.07185466,1.083108604
-0.07185464,1.083108604
-0.07185462,1.083108604
-0.07185459999999999,1.082498058
-0.07185457999999999,1.083108604
-0.07185456,1.082498058
-0.07185454,1.083108604
-0.07185451999999999,1.082498058
-0.07185449999999999,1.081887512
-0.07185448,1.081887512
-0.07185446,1.081887512
-0.07185443999999999,1.0812769660000001
-0.07185441999999999,1.081887512
-0.0718544,1.0812769660000001
-0.07185438,1.081887512
-0.07185435999999999,1.081887512
-0.07185433999999999,1.081887512
-0.07185432,1.081887512
-0.0718543,1.082498058
-0.07185427999999999,1.082498058
-0.07185425999999999,1.082498058
-0.07185424,1.082498058
-0.07185422,1.083108604
-0.0718542,1.082498058
-0.07185417999999999,1.082498058
-0.07185416,1.082498058
-0.07185414,1.083108604
-0.07185412,1.082498058
-0.07185409999999999,1.083108604
-0.07185408,1.082498058
-0.07185406,1.083108604
-0.07185404,1.082498058
-0.07185401999999999,1.083108604
-0.07185399999999999,1.083108604
-0.07185398,1.083108604
-0.07185396,1.083108604
-0.07185393999999999,1.083108604
-0.07185391999999999,1.082498058
-0.0718539,1.083108604
-0.07185388,1.082498058
-0.07185385999999999,1.082498058
-0.07185383999999999,1.082498058
-0.07185382,1.083108604
-0.0718538,1.083108604
-0.07185377999999999,1.08371915
-0.07185375999999999,1.083108604
-0.07185374,1.082498058
-0.07185372,1.081887512
-0.07185369999999999,1.082498058
-0.07185367999999999,1.082498058
-0.07185366,1.082498058
-0.07185364,1.081887512
-0.07185361999999999,1.082498058
-0.07185359999999999,1.081887512
-0.07185358,1.082498058
-0.07185356,1.081887512
-0.07185354,1.082498058
-0.07185351999999999,1.082498058
-0.0718535,1.082498058
-0.07185348,1.082498058
-0.07185346,1.082498058
-0.07185343999999999,1.082498058
-0.07185341999999999,1.083108604
-0.0718534,1.082498058
-0.07185338,1.082498058
-0.07185335999999999,1.082498058
-0.07185333999999999,1.083108604
-0.07185332,1.082498058
-0.0718533,1.082498058
-0.07185327999999999,1.082498058
-0.07185325999999999,1.082498058
-0.07185324,1.081887512
-0.07185322,1.082498058
-0.07185319999999999,1.081887512
-0.07185317999999999,1.082498058
-0.07185316,1.081887512
-0.07185314,1.081887512
-0.07185311999999999,1.081887512
-0.07185309999999999,1.082498058
